#	Гэрээний нэр	Эрдсийн төрөл	Гэрээний төрөл	Гэрээ байгуулсан огноо	Баримт бичгийн төрөл	Гэрээ байгуулсан төрийн байгууллага	Компанийн нэр	Төслийн нэр	Гэрээний файл	OCID	Аннотацийн текст	Метадата текст
256.	Бичил уурхайгаар ашигт малтмал олборлох гэрээ	Алт;	Бичил уурхайгаар ашигт малтмал олборлох тухай гэрээ	2022-11-25	Гэрээ	Монголын бичил уурхайн нэгдсэн дээвэр холбоо;	Нурамт хулгарын нураа			ocds-591adf-MN0192779808RC		
257.	Бичил уурхайгаар ашигт малтмал олборлох гэрээ	Алт;	Бичил уурхайгаар ашигт малтмал олборлох тухай гэрээ	2022-11-25	Гэрээ	Монголын бичил уурхайн нэгдсэн дээвэр холбоо;	Их алтайн рашка			ocds-591adf-MN3437717120RC		
258.	Бичил уурхайгаар ашигт малтмал олборлох гэрээ	Алт;	Бичил уурхайгаар ашигт малтмал олборлох тухай гэрээ	2022-11-25	Гэрээ	Монголын бичил уурхайн нэгдсэн дээвэр холбоо;	Хан хүлэг ресурс			ocds-591adf-MN2711493984RC		
259.	Бичил уурхайгаар ашигт малтмал олборлох гэрээ	Алт;	Бичил уурхайгаар ашигт малтмал олборлох тухай гэрээ	2022-11-25	Гэрээ	Монголын бичил уурхайн нэгдсэн дээвэр холбоо;	Дөрвөлж хадагт хайрхан			ocds-591adf-MN5965106818RC		
260.	Хамтын ажиллагааны гэрээ	Хайлуур Жонш;	Орон нутагтай хамтран ажиллах гэрээ	2022-06-30	Загвар гэрээ	Сүхбаатар аймгийн ЗДТГ, Түмэнцогт сумын ЗДТГ;	Эф Жи Пи Эм ХХК			ocds-591adf-MN3103627831RC		
261.	"Эрдэнэс Таван Толгой ХК болон Таван Толгой Төмөр Зам ХХК нарын хооронд байгуулсан ""Богдхан Төмөр Зам"" төслийн суурь, бүтцийн барилга угсралтын бүтээн байгуулалтын ажлын санхүүжилтийн гэрээ"	Нүүрс;	Төрийн өмчит уул уурхайн компанийн худалдан авалтын гэрээ	2022-06-28	Гэрээ	Эрдэнэс Таван Толгой ХК;	Тавантолгой төмөр зам ХХК			ocds-591adf-MN7189855838RC		
262.	"Богдхан төмөр замын туннел болон эстакадан гүүрний зураг төсөл, худалдан авалт, барилгын ажлын санхүүжилтийн гэрээний ""ХАВСРАЛТ - 3"" Нүүрс нийлүүлэх гэрээ"	Нүүрс;	Гэрээний хавсралт	2022-06-27	Гэрээ	Эрдэнэс-Тавантолгой ХК;	Бодь интернэшнл ХХК			ocds-591adf-MN6247607603RC		
263.	Эрдэнэс Таван Толгой ХК, Таван Толгой Төмөр Зам ХХК  болон Бодь Интернэшнл ХХК нарын хооронд байгуулсан Богдхан төмөр замын туннел болон эстакадан гүүрний зураг төсөл, худалдан авалт, барилгын ажлын санхүүжилтын гэрээ	Нүүрс;	Төрийн өмчит уул уурхайн компанийн худалдан авалтын гэрээ	2022-06-27	Гэрээ	Эрдэнэс Таван Толгой ХК;	Тавантолгой төмөр зам ХХК, Бодь интернэшнл ХХК			ocds-591adf-MN4694349968RC		
264.	Газар ашиглуулах гэрээ	Алт;	Газар ашиглах тухай гэрээ	2022-06-21	Гэрээ	Баян-Өлгий аймгийн Цэнгэл сумын Засаг даргын Тамгын газар;	Эс Жи Групп ХХК	Цагаан овоот уул		ocds-591adf-MN9639904503RC		
265.	Нийгмийн хариуцлагын гэрээ	Шаварлаг шороо;	Орон нутагтай хамтран ажиллах гэрээ	2022-06-10	Гэрээ	ГОВЬ-АЛТАЙ АЙМГИЙН ЗДТГ, СУМЫН ЗАСАГ ДАРГА, ААН;	МоЭнКо ХХК			ocds-591adf-MN6977847488RC		
266.	ОРХОН АЙМАГ,”ЭРДМИН” ХХК-ИЙН 2022 ОНЫ  ХАМТЫН АЖИЛЛАГААНЫ ТӨЛӨВЛӨГӨӨ	Зэс;	Бусад	2022-06-09	Гэрээ	Орхон аймгийн Засаг даргын Тамгын газар;	"ОРХОН АЙМАГ ""ЭРДМИН"" ХХК"			ocds-591adf-MN8894220654RC-1111		
267.	ОРХОН АЙМАГ,”АЧИТ-ИХТ” ХХК-ИЙН 2022 ОНЫ  ХАМТЫН АЖИЛЛАГААНЫ ТӨЛӨВЛӨГӨӨ	Зэс;	Орон нутагтай хамтран ажиллах гэрээ	2022-06-09	Гэрээ	Орхон аймгийн Засаг даргын Тамгын газар;	АЧИТ ИХТ ХХК			ocds-591adf-MN6602118927RC-1112		
268.	УС АШИГЛАХ ГЭРЭЭ	Алт;	Ус ашиглах тухай гэрээ	2022-05-31	Гэрээ	Харнуур -Ховд голын сав газрын захиргаа;	Эс Жи Групп ХХК	Цагаан овоот уул		ocds-591adf-MN6325409063RC		
269.	Ус ашиглах гэрээ-Эрдэнэт үйлдвэр ТӨҮГ	Зэс;	Ус ашиглах тухай гэрээ	2022-04-24	Гэрээ	Сэлэнгэ голын сав газрын захиргаа;	"""Эрдэнэт үйлдвэр"" ТӨҮГ"			ocds-591adf-MN2210266631RC		
270.	Нийгмийн хариуцлагын гэрээ	Хүрэн Нүүрс;	Орон нутагтай хамтран ажиллах гэрээ	2022-04-11	Гэрээ	ГОВЬ-АЛТАЙ АЙМГИЙН ЗДТГ,;	Домогт хээр			ocds-591adf-MN9163505585RC		
