#,Гэрээний нэр,Эрдсийн төрөл,Гэрээний төрөл,Гэрээ байгуулсан огноо,Баримт бичгийн төрөл,Гэрээ байгуулсан төрийн байгууллага,Компанийн нэр,Төслийн нэр,Гэрээний файл,OCID,Аннотацийн текст,Метадата текст
673,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2018-06-29,Contract,,,,,ocds-591adf-MN0729431769RC,,
674,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2018-06-28,Contract,,,Баргаилт нэртэй газарт бичил уурхайгаар алт олборлох,,ocds-591adf-MN2185741710RC,,
675,Хамтран ажиллах гэрээ,,Localcooperation agreement,2018-06-27,Contract,,,Хөөт,,ocds-591adf-MN6611086286RC,,
676,Дорноговь аймгийн Өргөн сум болон Ялгуун-интернэшнл ХХК-ийн хооронд байгуулсан газар ашиглуулах гэрээ,,,2018-06-26,Contract,,,,,ocds-591adf-MN2616682479RC,,
677,Хамтран ажиллах гэрээ,,,2018-06-25,Contract,,,Хөтөл цагаан,,ocds-591adf-MN9550245869RC,,
678,Бичил уурхайн нөхөрлөлтэй байгуулах гэрээ,,,2018-06-22,Contract,,,Сөөгийн дэнж-5 нэртэй газарт бичил уурхайгаар алт олборлох,,ocds-591adf-MN1403186224RC,,
679,"Эрлийн ажил гүйцэтгэх гэрээ, Юу жи Эс ХХК",,,2018-06-19,Contract,,,"УБ хотын Налайх, Багахангай дүүрэг, Төв аймгийн Баянжаргалан, Баяндэлгэр, Эрдэнэ, Баян, Сэргэлэн, Баянцагаан, Архуст сумд, Хэнтий аймгийн Цэнхэрмандал, Хэрлэн сумдын нутагт нүүрсний давхаргын метан хий эрэх",,ocds-591adf-MN7789726193RC,,
680,Бичил уурхайгаар ашигт малтмал олборлох тухай гэрээ,,,2018-06-19,Contract,,,,,ocds-591adf-MN9476481642RC,,
681,"БОАЖЯ, АМГТГ, МХЕГ, Төв аймаг болон Капитал авто сервис ХХК-ын хооронд байгуулсан нөхөн сэргээх үйл ажиллагааны гэрээ",,Other,2018-06-18,Contract,,,Хүнгүйч-Зүр хүзүүний алтны шороон орд,,ocds-591adf-MN7325877677RC,,
682,"БОАЖЯ, АМГТГ, МХЕГ, Сэлэнгэ аймаг болон  Баяжмал алт ХХК-ын хооронд байгуулсан нөхөн сэргээх үйл ажиллагааны гэрээ",,Other,2018-06-18,Contract,,,Сонгины голын алтны шороон орд,,ocds-591adf-MN2075113335RC,,
683,"БОАЖЯ, АМГ,МХЕГ, Сэлэнгэ аймаг болон Бейсикметал майнинг ХХК-ын хооронд байгуулсан нөхөн сэргээх үйл ажиллагааны гэрээ",,Other,2018-06-18,Contract,,,Бүдүүний голын алтны шороон орд,,ocds-591adf-MN9413530772RC,,
684,Бичил уурхайгаар ашигт малтмал олборлох тухай гэрээ,,,2018-06-15,Contract,,,Урт булаг 1 нэртэй газар бичил уурхайгаар үүсмэл алт олборлох,,ocds-591adf-MN9549256685RC,,
685,Бичил уурхайгаар ашигт малтмал олборлох тухай гэрээ,,,2018-06-15,Contract,,,Бага мухар нэртэй газарт бичил уурхайгаар үүсмэл алт олборлох төсөл,,ocds-591adf-MN9533973346RC,,
686,Бичил уурхайгаар ашигт малтмал олборлох тухай гэрээ,,,2018-06-15,Contract,,,Урт булаг нэртэй газарт бичил уурхайгаар үүсмэл алт олборлох,,ocds-591adf-MN3489197361RC,,
687,Бичил уурхайн нөхөрлөлтэй байгуулах гэрээ,,Artisanal mining agreement,2018-06-15,Contract,,,Гүүр -1 нэртэй газарт бичил уурхайгаар алт олборлох,,ocds-591adf-MN8639787741RC,,
688,Хамтран ажиллах гэрээ,,,2018-06-11,Contract,,,Мануулт,,ocds-591adf-MN2735589166RC,,
689,"БОАЖЯ, АМГТГ, МХЕГ, Дархан-Уул аймаг болон ЖМЭ  ХХК-ын хооронд байгуулсан нөхөн сэргээх үйл ажиллагааны гэрээ",,Other,2018-06-08,Contract,,,Бурхантын хөндийн алтны шороон орд,,ocds-591adf-MN4174803572RC,,
690,Бичил уурхайн нөхөрлөлтэй байгуулах гэрээ,,,2018-06-08,Contract,,,"Булган, Бүрэгхангай, Дэрст баг, ""Хос хасын зүүн тал-3"" нэртэй газарт бичил уурхайгаар алт олборлох",,ocds-591adf-MN7208370521RC,,
691,"Эрлийн ажил гүйцэтгэх гэрээ, Фронтиер Петролеум ХХК",,Other,2018-06-07,Contract,,,"Дорнод аймгийн Матад, Халх сумдын нутагт газрын тосны эрэл хийх",,ocds-591adf-MN2496148853RC,,
692,Бичил уурхайн нөхөрлөлтэй байгуулах гэрээ,,,2018-05-31,Contract,,,"""Хүрд-3"" нэртэй газарт бичил уурхайгаар алт олборлох",,ocds-591adf-MN4663210599RC,,
693,"БОНХАЖЯ, Баянхонгор аймаг, АМГ, МХЕГ, Жамп ХХК-ийн MV-020399 тоот тусгай зөвшөөрлийн талбайд холбогдох арга хэмжээ авах, нөхөн сэргээх үйл ажиллагааны гэрээ",,Other,2018-05-29,Contract,,,Бөөргийн ам алтны шороон орд,,ocds-591adf-MN4208250885RC,,
694,Бичил уурхайгаар ашигт малтмал олборлох тухай гэрээ,,,2018-05-28,Contract,,,,,ocds-591adf-MN6232345281RC,,
695,Бичил уурхайгаар ашигт малтмал олборлох тухай гэрээ,,Artisanal mining agreement,2018-05-22,Contract,,,"Хар морьтын адаг, Буянтын ам нэртэй газарт үүсмэл алт бичил уурхайгаар олборлох төсөл",,ocds-591adf-MN5790441632RC,,
696,Бичил уурхайгаар ашигт малтмал олборлох тухай гэрээ,,,2018-05-18,Contract,,,"Хар морьтын адаг, Буян ам нэртэй газарт бичил уурхайгаар үүсмэл алт олборлох",,ocds-591adf-MN6162776563RC,,
697,Бичил уурхайгаар ашигт малтмал олборлохтухай гэрээ,,Artisanal mining agreement,2018-05-17,Contract,,,"Буянтын ам, Хар морьтын адаг нэртэй газарт бичил уурхайгаар үүсмэл алт олборлох",,ocds-591adf-MN3310854626RC,,
698,Бичил уурхайгаар ашигт малтмал олборлох тухай гэрээ,,,2018-05-16,Contract,,,,,ocds-591adf-MN0314406951RC,,
699,Бичил уурхайгаар ашигт малтмал олборлох тухай гэрээ,,,2018-05-16,Contract,,,,,ocds-591adf-MN1310110720RC,,
700,Бичил уурхайн нөхөрлөлтэй байгуулах гэрээ,,,2018-05-14,Contract,,,"""Гүүр-3"" нэртэй газарт бичил уурхайгаар алт олборлох",,ocds-591adf-MN6292770450RC,,
701,Бичил уурхайн нөхөрлөлтэй байгуулах гэрээ,,Artisanal mining agreement,2018-05-14,Contract,,,Гүүр-3 нэртэй газарт бичил уурхайгаар алт олборлох,,ocds-591adf-MN1041070922RC,,
702,Бичил уурхайн нөхөрлөлтэй байгуулах гэрээ,,Artisanal mining agreement,2018-05-11,Contract,,,Өгөөмөр нэртэй газарт бичил уурхайгаар алт олборлох,,ocds-591adf-MN0390436227RC,,
703,Бичил уурхайн нөхөрлөлтэй байгуулах гэрээ,,Artisanal mining agreement,2018-05-11,Contract,,,Тээл нэртэй газарт бичил уурхайгаар алт олборлох,,ocds-591adf-MN5694742657RC,,
704,Бичил уурхайн нөхөрлөлтэй байгуулах гэрээ,,,2018-05-11,Contract,,,"""Цагаан эрэг"" нэртэй газарт бичил уурхайгаар алт олборлох",,ocds-591adf-MN9052936226RC,,
705,Бичил уурхайн нөхөрлөлтэй байгуулах гэрээ,,,2018-05-10,Contract,,,Хос хасын зүүн тал - 3 нэртэй  газарт бичил уурхайгаар алт олборлох,,ocds-591adf-MN6082843440RC,,
706,Бичил уурхайн нөхөрлөлтэй байгуулах гэрээ,,Artisanal mining agreement,2018-05-10,Contract,,,Туулын цагаан тохой нэртэй газарт бичил уурхайгаар алт олборлох,,ocds-591adf-MN0971004092RC,,
707,Бичил уурхайн нөхөрлөлтэй байгуулах гэрээ,,,2018-05-10,Contract,,,Өрмөн Уул нэртэй газарт бичил уурхайгаар алт олборлох,,ocds-591adf-MN8698112137RC,,
708,Бичил уурхайгаар ашигт малтмал олборлох  тухай гэрээ,,,2018-05-10,Contract,,,Ягаан -3 нэртэй газарт бичил уурхайгаар алт олборлох,,ocds-591adf-MN5734077995RC,,
709,Бичил уурхайн нөхөрлөлтэй байгуулах гэрээ,,,2018-05-10,Contract,,,"""Булантг"" нэртэй газарт бичил уурхайгаар алт олборлох",,ocds-591adf-MN1128991083RC,,
710,"БОАЖЯ, АМГТГ, МХЕГ, Сэлэнгэ аймаг болон Монтэнгэр ХХК-ын хооронд байгуулсан нөхөн сэргээх үйл ажиллагааны гэрээ",,Other,2018-05-08,Contract,,,,,ocds-591adf-MN2067017652RC,,
711,Бичил уурхайгаар ашигт малтмал олборлох тухай гэрээ,,,2018-05-08,Contract,,,,,ocds-591adf-MN6755202013RC,,
712,"БОАЖЯ, АМГТГ, МХЕГ, Төв аймаг болон Флинкмонголиа ХХК-ын хооронд байгуулсан нөхөн сэргээх үйл ажиллагааны гэрээ",,,2018-05-08,Contract,,,Туулын тохойн алтны шороон орд,,ocds-591adf-MN7589493880RC,,
713,Бичил уурхайгаар ашигт малтмал олборлох тухай гэрээ,,,2018-04-30,Contract,,,,,ocds-591adf-MN5162795868RC,,
714,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2018-04-30,Contract,,,Сүүл өндөр нэртэй газарт бичил уурхайгаар жонш олборлох,,ocds-591adf-MN3726566500RC,,
715,Бичил уурхайгаар ашигт малтмал олборлох тухай гэрээ,,,2018-04-23,Contract,,,Бурхантын хөндий нэртэй газарт бичил уурхайгаар алт олборлох,,ocds-591adf-MN3793185601RC,,
716,Бичил уурхайгаар ашигт малтмал олборлох тухай гэрээ,,,2018-04-23,Contract,,,Санжинт багийн Зэвсгийн агуулах орших газар бичил уурхайгаар алт олборлох,,ocds-591adf-MN4530649159RC,,
717,Бичил уурхайгаар ашигт малтмал олборлох тухай гэрээ,,,2018-04-23,Contract,,,Санжинт багийн Цагаан хөтөл нэртэй газарт бичил уурхайгаар алт олборлох,,ocds-591adf-MN6233889302RC,,
718,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2018-04-23,Contract,,,Цог-Өндөр хэмээх газар бичил уурхайгаар Жонш олборлох төсөл,,ocds-591adf-MN0399850866RC,,
719,Бичил уурхайгаар ашигт малтмал олборлох тухай гэрээ,,,2018-04-23,Contract,,,Буянт нэртэй газарт бичил уурхайгаар алт олборлох,,ocds-591adf-MN8899112183RC,,
720,Бичил уурхайгаар ашигт малтмал олборлох тухай гэрээ,,,2018-04-23,Contract,,,Шарын гол сумын Санжинт багт бичил уурхайгаар алт олборлох төсөл,,ocds-591adf-MN1178911040RC,,
721,Бичил уурхайгаар ашигт малтмал олборлох  тухай гэрээ,,Artisanal mining agreement,2018-04-23,Contract,,,Цагаан хөтөл нэртэй газарт бичил уурхайгаар алт олборлох,,ocds-591adf-MN2716448343RC,,
722,"БОАЖЯ, АМГТГ, МХЕГ, Сэлэнгэ аймаг болон Ганбаттулга ХХК-ын хооронд байгуулсан нөхөн сэргээх үйл ажиллагааны гэрээ",,Other,2018-04-19,Contract,,,,,ocds-591adf-MN4160972249RC,,
723,"БОАЖЯ, АМГТГ,МХЕГ, Сэлэнгэ аймаг болон Инфинити спейс ХХК-ын хооронд байгуулсан нөхөн сэргээх үйл ажиллагааны гэрээ",,Other,2018-04-19,Contract,,,,,ocds-591adf-MN7640123264RC,,
724,"БОАЖЯ, АМГТГ, МХЕГ, Төв аймаг болон Багатаян ХХК-ын хооронд байгуулсан нөхөн сэргээх үйл ажиллагааны гэрээ",,Other,2018-04-19,Contract,,,,,ocds-591adf-MN4791529345RC,,
725,Бичил уурхайгаар ашигт малтмал олборлох тухай гэрээ Баян ундарга арвижих,,,2018-04-17,Contract,,,Шивэртийн ам нэртэй газарт бичил уурхайгаар алт олборлох,,ocds-591adf-MN0143930877RC,,
726,"БОАЖЯ, АМГТГ, МХЕГ, Төв аймаг болон Уулс Заамар ХХК-ын хооронд байгуулсан нөхөн сэргээх үйл ажиллагааны гэрээ",,Other,2018-04-11,Contract,,,,,ocds-591adf-MN3496908961RC,,
727,"БОАЖЯ, АМГТГ, МХЕГ, Төв аймаг болон Уулс Заамар ХХК-ын хооронд байгуулсан нөхөн сэргээх үйл ажиллагааны гэрээ",,Other,2018-04-11,Contract,,,,,ocds-591adf-MN0636048760RC,,
728,"БОАЖЯ, АМГ,МХЕГ, Төв, Булган  аймаг болон Эко Алтан Заамар ХХК-ын хооронд байгуулсан нөхөн сэргээх үйл ажиллагааны гэрээ",,Other,2018-04-10,Contract,,,,,ocds-591adf-MN3048955066RC,,
729,Бичил уурхайгаар ашигт малтмал олборлох тухай гэрээ,,,2018-04-09,Contract,,,,,ocds-591adf-MN6481288008RC,,
730,Бичил уурхайгаар ашигт малтмал олборлох тухай гэрээ,,,2018-04-09,Contract,,,,,ocds-591adf-MN1500216234RC,,
731,Бичил уурхайгаар ашигт малтмал олборлох тухай гэрээ,,,2018-04-05,Contract,,,,,ocds-591adf-MN5245439824RC,,
732,Бичил уурхайгаар ашигт малтмал олборлох тухай гэрээ,,,2018-03-28,Contract,,,,,ocds-591adf-MN0168525851RC,,
733,Бичил уурхайгаар ашигт малтмал олборлох тухай гэрээ,,,2018-03-27,Contract,,,,,ocds-591adf-MN5624306096RC,,
734,Бичил уурхайгаар ашигт малтмал олборлох тухай гэрээ,,,2018-03-23,Contract,,,,,ocds-591adf-MN4526254065RC,,
735,Бичил уурхайгаар ашигт малтмал олборлох тухай гэрээ,,,2018-03-20,Contract,,,Тагт нэртэй газарт бичил уурхайгаар хайлуур жонш олборлох,,ocds-591adf-MN7330500101RC,,
736,"Нийгмийн хариуцлагын гэрээ [Төв аймгийн Заамар сум - ""Баянгол Эко Заамар"" ХХК]",,,2018-03-12,Contract,,,,,ocds-591adf-MN1382913403RC,,
737,"БОАЖЯ, АМГ,МХЕГ, Сэлэнгэ аймаг болон Монлид трейд ХХК-ын хооронд байгуулсан нөхөн сэргээх үйл ажиллагааны гэрээ",,Localcooperation agreement,2018-03-09,Contract,,,,,ocds-591adf-MN8487549461RC,,
738,"БОАЖЯ, АМГТГ,МХЕГ, Сэлэнгэ аймаг болон Толгойтын гол ХХК-ын хооронд байгуулсан нөхөн сэргээх үйл ажиллагааны гэрээ",,Other,2018-03-09,Contract,,,,,ocds-591adf-MN1150318370RC,,
739,Бичил уурхайгаар ашигт малтмал олборлох тухай гэрээ,,,2018-03-07,Contract,,,,,ocds-591adf-MN6129900847RC,,
740,Бичил уурхайгаар ашигт  малтмал олборлох гэрээ,,Artisanal mining agreement,2018-02-27,Contract,,,Хонгор нэртэй газарт бичил уурхайгаар хайлуур жонш олборлох,,ocds-591adf-MN0258521553RC,,
741,Газар ашиглах тухай,,,2018-02-23,Contract,,,Оцог хад гянтболдын уурхай,,ocds-591adf-MN3427642196RC,,
742,Дорноговь аймгийн Өргөн сум болон Тээлийн шонхор ХХК-ийн хооронд байгуулсан газар эзэмшүүлэх гэрээ/2018/00011,,,2018-01-18,Contract,,,,,ocds-591adf-MN2917893544RC,,
743,Дорноговь аймгийн Өргөн сум болон Тээлийн шонхор ХХК-ийн хооронд байгуулсан газар эзэмшүүлэх гэрээ/2018/00012,,,2018-01-18,Contract,,,,,ocds-591adf-MN8436985971RC,,
744,Бичил уурхайгаар ашигт малтмал олборлох тухай гэрээ,,,2018-01-16,Contract,,,Ангал нэртэй газар бичил уурхайгаар жонш олборлох төсөл,,ocds-591adf-MN7848564086RC,,
745,"БОАЖЯ, АМГТГ, МХЕГ, Сэлэнгэ аймаг болон Болд төмөр Ерөө гол ХХК-ийн хооронд байгуулсан нөхөн сэргээх үйл ажиллагааны гэрээ",,Contract under the Law on Prohibiting minerals exploration and exploitation in water heads and protected zone of rivers and forested  areas,2018-01-09,Contract,,,Баянгол төмрийн хүдрийн орд,,ocds-591adf-MN0712307995RC,,
746,Бичил уурхайгаар ашигт малтмал олборлох тухай гэрээ,,,2018-01-01,Contract,,,Хөх дэл нэртэй газарт бичил уурхайгаар жонш олборлох,,ocds-591adf-MN8042103467RC,,
747,"Улсын төсвөөс хайгуулын ажилд гарсан зардлыг нөхөн төлөх тухай гэрээ [""Хотгор"" ХХК]",,,2017-12-28,Contract,,,,,ocds-591adf-MN6339708933RC,,
748,Хамтын ажиллагааны гэрээ,,Localcooperation agreement,2017-12-26,Contract,,,,,ocds-591adf-MN0376743438RC,,
749,"Улсын төсвөөс хайгуулын ажилд гарсан зардлыг нөхөн төлөх гэрээ [""Гуравт"" ХХК]",,,2017-12-26,Contract,,,,,ocds-591adf-MN2327135028RC,,
750,"Улсын төсвөөс хайгуулын ажилд гарсан зардлыг нөхөн төлөх тухай гэрээ [""Зэт Ди Эл"" ХХК]",,,2017-12-26,Contract,,,,,ocds-591adf-MN4165717552RC,,
751,"Улсын төсвөөс хайгуулын ажилд гарсан зардлыг нөхөн төлөх тухай гэрээ [""Алтан сүлжээ системос"" ХХК]",,,2017-12-25,Contract,,,,,ocds-591adf-MN2374800433RC,,
752,"Улсын төсвөөс хайгуулын ажилд гарсан зардлыг нөхөн төлөх тухай гэрээ [""Дүншиинхэние"" ХХК]",,,2017-12-25,Contract,,,,,ocds-591adf-MN0447590711RC,,
753,"Улсын төсвөөс хайгуулын ажилд гарсан зардлыг нөхөн төлөх тухай гэрээ [""Сонгоулд"" ХХК]",,,2017-12-25,Contract,,,,,ocds-591adf-MN0520634601RC,,
754,"БОАЖЯ, АМГТГ, МХЕГ, Сэлэнгэ аймаг болон Даланбулаг трейд ХХК-ийн хооронд байгуулсан нөхөн сэргээх үйл ажиллагааны гэрээ",,,2017-12-25,Contract,,,Ширээ Нуруу элс хайрганы орд,,ocds-591adf-MN4798471750RC,,
755,Дундговь аймаг болон Говь шоо ХХК-ийн хооронд байгуулсан хамтран ажиллах гэрээ,,,2017-12-21,Contract,,,,,ocds-591adf-MN1807025655RC,,
756,"Улсын төсвөөс хайгуулын ажилд гарсан зардлыг нөхөн төлөх тухай гэрээ [""Эрдхул"" ХХК]",,,2017-12-20,Contract,,,,,ocds-591adf-MN7045438073RC,,
757,"Сэлэнгэ аймгийн Баянгол сум, Бороо Гоулд компани болон Бэлчээр Ашиглагчдын Үндэсний Холбоо ТББ-ийг хооронд байгуулагдсан хамтран ажиллах гэрээ",,,2017-12-19,Contract,,,,,ocds-591adf-MN1634419462RC,,
758,Говьсүмбэр аймгийн Шивээговь сум болон Шивээ-овоо ХК-ийн хооронд байгуулсан хамтран ажиллах гэрээ,,,2017-12-15,Contract,,,,,ocds-591adf-MN7353972455RC,,
759,"Улсын төсвөөс хайгуулын ажилд гарсан зардлыг нөхөн төлөх тухай [""Тээлийн шонхор"" ХХК]",,,2017-12-14,Contract,,,,,ocds-591adf-MN1087558828RC,,
760,"Улсын төсвөөс хайгуулын ажилд гарсан зардлыг нөхөн төлөх тухай гэрээ [""Тээлийн шонхор"" ХХК]",,,2017-12-14,Contract,,,,,ocds-591adf-MN7282801766RC,,
761,"Улсын төсвөөс хайгуулын ажилд гарсан зардлыг нөхөн төлөх тухай гэрээ [""Тээлийн шонхор"" ХХК]",,,2017-12-14,Contract,,,,,ocds-591adf-MN4325580023RC,,
762,"Улсын төсвөөс хайгуулын ажилд гарсан зардлыг нөхөн төлөх тухай гэрээ [""Монцемент билдинг материалс"" ХХК]",,,2017-12-13,Contract,,,,,ocds-591adf-MN8741599703RC,,
763,"Улсын төсвөөс хайгуулын ажилд гарсан зардлыг нөхөн төлөх тухай гэрээ [""Цэрэнбадам"" ХХК]",,,2017-12-12,Contract,,,,,ocds-591adf-MN9799238482RC,,
764,"Өмнөговь аймаг, Алтайн өвөр говийн сав захиргаа болон Жавхлант Орд ХХК-ийн хооронд байгуулсан ус ашиглуулах гэрээ",,,2017-12-07,Contract,,,,,ocds-591adf-MN4240244864RC,,
765,"БОАЖЯ, АМГТГ, МХЕГ, Дархан-Уул аймаг болон Хааны харгуй ХХК-ийн хооронд байгуулсан нөхөн сэргээх үйл ажиллагааны гэрээ",,,2017-12-06,Contract,,,Хуурай - 1 алтны шороон орд,,ocds-591adf-MN5086715438RC,,
766,"БОАЖЯ, АМГТГ, МХЕГ, Сэлэнгэ аймаг болон Шар нарст ХХК-ийн хооронд байгуулсан нөхөн сэргээх үйл ажиллагааны гэрээ",,,2017-12-06,Contract,,,Баруун хужиртын алтны шороон орд,,ocds-591adf-MN0843288449RC,,
767,Шивээговь сумын Шивээ-Овоо ХК болон Шивээ Сервис ХХК-ийн хооронд байгуулсан хамтран ажиллах гэрээ,,,2017-11-22,Contract,,,,,ocds-591adf-MN8475733836RC,,
768,"Улсын төсвөөс хайгуулын ажилд гарсан зардлыг нөхөн төлөх тухай гэрээ [""Хөх шугам"" ХХК]",,,2017-11-14,Contract,,,,,ocds-591adf-MN5203323526RC,,
769,"Өмнөговь аймаг, Алтайн өвөр говийн сав захиргаа болон Монгол алт ХХК-ийн хооронд байгуулсан ус ашиглах гэрээ",,,2017-11-07,Contract,,,,,ocds-591adf-MN9596685584RC,,
770,Долоодын говийн сав газрын захиргаа болон Эрдэнэс-Таван толгой ХК-ийн хооронд байгуулсан ус ашиглах гэрээ,,,2017-11-06,Contract,,,,,ocds-591adf-MN8566695615RC,,
771,"Дорнод аймгийн Цагаан-Овоо сум болон СТЕП Гоулд ХХК-ын хооронд байгуулсан орон нутгийн хөгжлийг дэмжих, ажлын байрыг нэмэгдүүлэх тухай гэрээ",,,2017-10-25,Contract,,,Степ Гоулд,,ocds-591adf-MN3819883452RC,,
772,"Улсын төсвөөс хайгуулын ажилд гарсан зардлыг нөхөн төлөх тухай гэрээ [""Солонго бил"" ХХК]",,,2017-10-23,Contract,,,,,ocds-591adf-MN7262335522RC,,
773,"Улсын төсвөөс хайгуулын ажилд гарсан зардлыг нөхөн төлөх тухай гэрээ [""Шар нарст"" ХХК]",,,2017-10-16,Contract,,,,,ocds-591adf-MN9857260651RC,,
774,"Улсын төсвөөс хайгуулын ажилд гарсан зардлыг нөхөн төлөх тухай гэрээ [""Голден хаммер"" ХХК]",,Other,2017-10-16,Contract,,,,,ocds-591adf-MN1000996983RC,,
775,"Улсын төсвөөс хайгуулын ажилд гарсан зардлыг нөхөн төлөх тухай гэрээ [""Баян хурай"" ХХК]",,,2017-10-16,Contract,,,,,ocds-591adf-MN8247639773RC,,
776,Завхан аймгийн Дөрвөлжин сумаас Баян-Айраг Эксплорэйшн ХХК-тай байгуулах хамтын ажиллагааны гэрээ,,,2017-10-15,Contract,,,Баян айраг,,ocds-591adf-MN1645499103RC,,
777,Өвөрхангай аймгийн Төгрөг сум болон Тэборет Эйч Си ХХК-ийн хооронд байгуулсан ус ашиглах гэрээ,,,2017-10-15,Contract,,,,,ocds-591adf-MN2649182287RC,,
778,Өвөрхангай аймгийн Уянга сум болон Өгөөмөр-Өргөө ХХК-ийн хооронд байгуулсан газар ашиглах гэрээ,,,2017-10-06,Contract,,,,,ocds-591adf-MN4970234147RC,,
779,Бичил уурхайн нөхөрлөлтэй байгуулах гэрээ,,Artisanal mining agreement,2017-10-04,Contract,,,Өрмөн Уул нэртэй газарт бичил уурхайгаар алт олборлох,,ocds-591adf-MN6548109656RC,,
780,Ашиглалтын тусгай зөвшөөрөл бүхий талбайгаас бичил уурхайгаар ашигт малтмал олборлох гурвалсан гэрээ,,,2017-10-03,Contract,,,,,ocds-591adf-MN7255112792RC,,
781,Төв аймгийн Баян-Өнжүүл сум болон Баян нүүрстэй ХХК-ийн хооронд байгуулсан хамтран ажиллах гэрээ,,,2017-10-01,Contract,,,,,ocds-591adf-MN0009802768RC,,
782,"Өмнөговь аймгийн Байгаль орчин, аялал жуулчлалын газар болон Хангад Эксплорэйшн ХХК-ийн хооронд байгуулсан ус ашиглуулах гэрээ",,,2017-09-29,Contract,,,,,ocds-591adf-MN8194554211RC,,
783,"БОАЖЯ, АМГТГ, МХЕГ, Сэлэнгэ аймаг болон Флинкмонголиа ХХК-ийн хооронд байгуулсан нөхөн сэргээх үйл ажиллагааны гэрээ",,,2017-09-26,Contract,,,Туулын тохойн алтны шороон орд,,ocds-591adf-MN0552972784RC,,
784,Говьсүмбэр аймгийн Шивээговь сум болон Шивээ-овоо ХК-ийн хооронд байгуулсан ус ашиглах гэрээ,,,2017-09-26,Contract,,,,,ocds-591adf-MN7247901998RC,,
785,Завхан аймгийн Улиастай сум болон Форс голд майнинг ХХК-ийн хооронд байгуулсан ус ашиглах гэрээ 03,,,2017-09-25,Contract,,,,,ocds-591adf-MN0130735211RC,,
786,"Улсын төсвийн хайгуулын ажилд гарсан зардлыг нөхөн төлөх тухай гэрээ [""Говь-Алтай"" ХХК]",,,2017-09-22,Contract,,,,,ocds-591adf-MN9889604098RC,,
787,Сэлэнгэ голын сав газрын захиргаа болон Эрдэнэт үйлдвэр ХХК-ийн хооронд байгуулсан ус ашиглах гэрээ,,,2017-09-21,Contract,,,,,ocds-591adf-MN8232966672RC,,
788,Бичил уурхайгаар ашигт малтмал олборлох тухай гэрээ,,,2017-09-20,Contract,,,Сэнжит -2 нэртэй газарт бичил уурхайгаар алт олборлох,,ocds-591adf-MN6277713411RC,,
789,"Улсын төсвөөс хайгуулын ажилд гарсан зардлыг нөхөн төлөх тухай гэрээ [""Боржин зам"" ХХК]",,,2017-09-19,Contract,,,,,ocds-591adf-MN7925703461RC,,
790,"Улсын төсвөөс хайгуулын ажилд гарсан зардлыг нөхөн төлөх тухай гэрээ [""Алтан эрдэнийн орд"" ХХК]",,,2017-09-18,Contract,,,,,ocds-591adf-MN1653257499RC,,
791,Бичил уурхайн нөхөрлөлтэй байгуулах гэрээ,,Artisanal mining agreement,2017-09-13,Contract,,,Төсөлчийн зүүн тал нэртэй газарт бичил уурхайгаар алт олборлох,,ocds-591adf-MN3206686686RC,,
792,"БОАЖЯ, АМГТГ, МХЕГ, Баянхонгор аймаг болон Одод Гоулд ХХК-ийн хооронд байгуулсан нөхөн сэргээх үйл ажиллагааны гэрээ 14/2017",,Contract under the Law on Prohibiting minerals exploration and exploitation in water heads and protected zone of rivers and forested  areas,2017-09-13,Contract,,,Цагаан тохойн алтны шороон орд,,ocds-591adf-MN7744680648RC,,
793,"БОАЖЯ, АМГТГ, МХЕГ, Баянхонгор аймаг болон Одод Гоулд ХХК-ийн хооронд байгуулсан нөхөн сэргээх үйл ажиллагааны гэрээ 13/2017",,Contract under the Law on Prohibiting minerals exploration and exploitation in water heads and protected zone of rivers and forested  areas,2017-09-13,Contract,,,Байдраг гол алтны шороон орд,,ocds-591adf-MN3497293452RC,,
794,"БОАЖЯ, АМГТГ, МХЕГ, Баянхонгор аймаг болон Одод Гоулд ХХК-ийн хооронд байгуулсан нөхөн сэргээх үйл ажиллагааны гэрээ 15/2017",,,2017-09-13,Contract,,,Хүйтэний амны тохойн алтны шороон ордын ашигт малтмал,,ocds-591adf-MN0530152365RC,,
795,"БОАЖЯ, АМГТГ, МХЕГ, Баянхонгор аймаг болон Одод Гоулд ХХК-ийн хооронд байгуулсан нөхөн сэргээх үйл ажиллагааны гэрээ 12/2017",,Contract under the Law on Prohibiting minerals exploration and exploitation in water heads and protected zone of rivers and forested  areas,2017-09-13,Contract,,,Өлзийт тохойн алтны шороон орд,,ocds-591adf-MN7489302411RC,,
796,Өмнөговь аймгийн Ноён сум болон Терра Энержи ХХК-ийн хооронд байгуулсан хамтын ажиллагааны гэрээ,,,2017-09-11,Contract,,,,,ocds-591adf-MN2816165927RC,,
797,Бичил уурхайгаар ашигт малтмал олборлох тухай гэрээ,,,2017-09-09,Contract,,,Сэнжит 1 нэртэй газарт бичил уурхайгаар алт олборлох,,ocds-591adf-MN9314044033RC,,
