#,Гэрээний нэр,Эрдсийн төрөл,Гэрээний төрөл,Гэрээ байгуулсан огноо,Баримт бичгийн төрөл,Гэрээ байгуулсан төрийн байгууллага,Компанийн нэр,Төслийн нэр,Гэрээний файл,OCID,Аннотацийн текст,Метадата текст
482,Хамтран ажиллах гэрээ,,,2019-03-26,Contract,,,,,ocds-591adf-MN7792125036RC,,
483,Хамтран ажиллах гэрээ,,,2019-03-26,Contract,,,,,ocds-591adf-MN2130398076RC,,
484,"Сэлэнгэ аймгийн Мандал сум болон ""Бороогоулд"" ХХК-ий хоорондын хамтын ажиллагааны гэрээ",,,2019-03-21,Contract,,,,,ocds-591adf-MN1168750634RC,,
485,Бичил уурхайгаар ашигт малтмал олборлох тухай гэрээ-Норовлин оргил жонш нөхөрлөл,,Artisanal mining agreement,2019-03-21,Contract,,,Шалз-3 нэртэй газарт бичил уурхайгаар жонш олборлох,,ocds-591adf-MN3008387302RC,,
486,Бичил уурхайгаар ашигт малтмал олборлох тухай гэрээ-Дэлгэр шалз нөхөрлөл,,Artisanal mining agreement,2019-03-21,Contract,,,Шалз 10 нэртэй газарт бичил уурхайгаар жонш олборлох,,ocds-591adf-MN3442329462RC,,
487,"Байгаль орчныг хамгаалах, уурхай ашиглах, үйлдвэр байгуулахтай холбогдсон дэд бүтцийг хөгжүүлэх, ажлын байр нэмэгдүүлэх тухай гэрээ",,,2019-03-18,Social Agreement,,,,,ocds-591adf-MN3466638676RC,,
488,Бичил уурхайгаар ашигт малтмал олборлох тухай гэрээ-Олон ус,,Artisanal mining agreement,2019-03-13,Contract,,,,,ocds-591adf-MN9199356015RC,,
489,Бичил уурхайгаар ашигт малтмал олборлох тухай гэрээ-Эргор,,Artisanal mining agreement,2019-03-13,Contract,,,,,ocds-591adf-MN7588136925RC,,
490,Бичил уурхайгаар ашигт малтмал олборлох тухай гэрээ-Плзис,,Artisanal mining agreement,2019-03-07,Contract,,,,,ocds-591adf-MN2573510578RC,,
491,Бичил уурхайгаар ашигт малтмал олборлох тухай гэрээ-Нарны эргэлт,,Artisanal mining agreement,2019-03-06,Contract,,,,,ocds-591adf-MN8785850436RC,,
492,"""Хотгор ХХК "" 2019 он хамтран ажиллах гэрээ",,,2019-03-03,Contract,,,Хотгор,,ocds-591adf-MN8590533091RC,,
493,Хамтран ажиллах гэрээ,,,2019-03-03,Contract,,,,,ocds-591adf-MN1256269115RC,,
494,"""Эрчим Баян-Өлгий ХК"" Хамтран ажиллах гэрээ 2019 он",,,2019-03-03,Contract,,,Нүүрст хотгор,,ocds-591adf-MN4094356929RC,,
495,"Ус ашиглах гэрээ 2019 он ""Эрчим Баян-Өлгий ХК""",,,2019-03-03,Contract,,,Нүүрст хотгор,,ocds-591adf-MN4094356929RC-1017,,
496,"Ус ашиглах гэрээ 2019 он ""Хотгор ХХК""",,,2019-03-03,Contract,,,Хотгор,,ocds-591adf-MN8590533091RC-1014,,
497,Бичил уурхайгаар ашигт малтмал олборлох тухай гэрээ- Эрдэнэ Хун Уул,,,2019-03-01,Social Agreement,,,Хунхат нэртэй газарт бичил уурхайгаар жонш олборлох,,ocds-591adf-MN3027643900RC,,
